Date,Open,High,Low,Close,Volume,Daily_Return,MA50,MA200,Volatility
2008-09-16,530.25,544.5,515.4,538.35,220585,0.48530097993466637,558.811,730.572,4.30532505401317
2008-09-17,544.95,545.8,484.0,493.65,324750,-8.303148509334079,559.337,728.22575,4.451180101317698
2008-09-18,476.0,476.0,445.0,454.75,665699,-7.880076977615714,559.2429999999999,726.03,4.588845561370117
2008-09-19,499.95,499.95,452.0,456.4,626712,0.36283672347443563,557.344,723.8910000000001,3.5778369261577234
2008-09-22,461.0,477.65,439.0,443.85,728653,-2.749780893952658,554.866,721.5025,3.5620129681672568
2008-09-23,439.0,454.9,421.0,442.55,412444,-0.2928917427058697,552.79,718.86875,3.5292491831323494
2008-09-24,453.0,453.0,441.05,446.9,384977,0.982939780815717,551.03,715.8960000000001,3.525182944983141
2008-09-25,448.0,449.0,438.0,439.95,142088,-1.555157753412395,550.069,712.6835000000001,3.3126483904918977
2008-09-26,429.5,441.9,429.0,430.95,198455,-2.045687009887487,549.124,709.4317500000001,3.3130810745364387
2008-09-29,435.0,445.0,407.05,422.85,347497,-1.8795683954054954,548.006,706.034,3.3217746485720254
2008-09-30,400.0,436.0,392.55,431.65,357373,2.081116235071523,547.291,702.81525,3.32189436427246
2008-10-01,433.8,440.0,426.0,434.1,292413,0.5675894822193994,546.446,699.7475,3.3106238386608164
2008-10-03,434.0,439.85,422.4,431.85,282657,-0.5183137525915704,544.7539999999999,696.7227500000001,3.072273784340716
2008-10-06,425.0,433.0,407.05,412.15,234652,-4.561769132800753,541.9259999999999,693.13375,2.933479046870801
2008-10-07,410.0,472.0,405.1,415.25,647919,0.7521533422297777,538.539,689.6575,2.8030344759762573
2008-10-08,400.0,409.95,381.1,396.75,560925,-4.4551475015051185,534.7180000000001,686.42,2.84860876365038
2008-10-10,379.7,388.0,325.05,349.4,513928,-11.934467548834283,529.937,682.79225,3.2552809012602153
2008-10-13,352.05,387.5,350.1,380.1,323950,8.7864911276474,526.445,679.35825,3.4637953951319727
2008-10-14,400.0,412.0,387.0,398.7,333421,4.893449092344104,523.141,676.0507500000001,3.538029063464226
2008-10-15,382.0,393.0,373.0,380.4,132672,-4.589917231000751,519.189,672.16875,3.5521361174434927
2008-10-16,352.55,407.4,342.05,400.5,329381,5.283911671924302,515.674,668.17175,3.6535515415230404
2008-10-17,408.4,408.4,388.3,401.0,200412,0.12484394506866447,511.99299999999994,664.1185,3.641796682711795
2008-10-20,400.1,415.5,380.3,410.0,245317,2.244389027431426,508.453,659.923,3.662685307613308
2008-10-21,417.9,440.0,402.0,436.0,231715,6.341463414634152,505.64,655.7589999999999,3.7894726135815016
2008-10-22,425.0,434.0,418.85,420.25,92909,-3.6123853211009194,502.57,651.3760000000001,3.815183158436848
2008-10-23,402.3,415.0,390.15,405.3,95940,-3.557406305770372,499.045,646.86525,3.828352726346163
2008-10-24,398.0,404.7,361.15,375.4,605104,-7.377251418702202,494.73299999999995,642.36325,3.9296872976470936
2008-10-27,375.0,377.9,321.5,340.25,262479,-9.363345764517838,489.008,637.86275,3.9850129979848163
2008-10-28,379.8,379.8,358.0,364.05,37336,6.9948567229978,483.9939999999999,633.54675,4.145543200349991
2008-10-29,374.7,378.0,338.15,342.65,115919,-5.8783134184864805,479.401,629.236,4.1179216466276385
2008-10-31,357.0,365.0,349.15,357.9,227297,4.450605574201072,475.08399999999995,625.12425,4.184899216855428
2008-11-03,371.0,373.0,352.0,355.35,435536,-0.7124895222129002,470.81300000000005,621.29325,4.184945774110672
2008-11-04,357.0,357.0,340.0,347.3,426295,-2.265372168284796,466.156,617.6005,4.169441614404586
2008-11-05,360.0,368.9,352.4,354.75,364596,2.145119493233505,461.964,614.1985,4.183631309605201
2008-11-06,331.25,358.5,331.25,348.3,168564,-1.8181818181818188,457.412,610.6922500000001,4.164929097904874
2008-11-07,348.0,351.0,337.55,341.15,210164,-2.0528280218202744,452.591,607.246,4.15773359226999
2008-11-10,348.95,352.9,340.55,343.25,173863,0.6155650007328317,448.083,603.85775,4.15905992857574
2008-11-11,345.0,360.0,341.1,346.25,291545,0.8739985433357633,443.792,600.616,4.166161855087463
2008-11-12,349.0,349.0,335.0,339.55,189310,-1.9350180505415149,439.43199999999996,598.1885,4.168621214802206
2008-11-14,342.2,351.0,320.0,322.85,132990,-4.918274186423199,434.344,596.125,4.1565066169137195
2008-11-17,327.25,336.8,316.05,329.45,261195,2.044293015332177,429.11199999999997,593.48725,4.150907482656323
2008-11-18,325.0,327.8,317.6,324.8,79370,-1.4114433146152572,423.795,591.0405,4.1485933892986235
2008-11-19,324.2,331.85,303.2,309.8,77962,-4.618226600985221,418.315,588.261,4.1782814766767675
2008-11-20,303.0,303.0,285.0,288.15,110134,-6.988379599741778,412.66299999999995,585.59775,4.256299816640909
2008-11-21,290.0,293.9,275.0,285.65,117231,-0.8676036786395946,406.773,582.8222499999999,4.235969045124306
2008-11-24,288.0,290.0,276.0,280.9,198251,-1.6628741466830022,400.782,580.0745,4.231594880699447
2008-11-25,286.0,289.9,272.05,275.4,105896,-1.9579921680313306,394.49699999999996,577.2632500000001,4.21102504910633
2008-11-26,276.2,279.7,265.0,268.45,87649,-2.5236020334059472,388.274,574.47875,4.2137356792597975
2008-11-28,267.0,267.0,256.0,257.95,69478,-3.9113428943937434,382.17800000000005,571.4879999999999,4.223257217507188
2008-12-01,257.0,275.0,255.0,265.65,139673,2.985074626865658,376.776,568.64475,4.2410871385478774
2008-12-02,258.0,262.55,253.65,259.45,113639,-2.333897986071898,371.198,565.9045000000001,4.235554852544797
2008-12-03,261.1,269.95,259.25,262.55,74585,1.1948352283677188,366.57599999999996,563.2360000000001,4.129467308625587
2008-12-04,262.2,272.0,262.2,270.3,75654,2.951818701199782,362.88699999999994,560.66725,4.053699934557574
2008-12-05,272.15,281.7,265.2,269.4,68500,-0.3329633740288718,359.147,558.45825,4.050281951926063
2008-12-08,275.05,282.0,263.15,265.25,70425,-1.5404602821083802,355.575,556.378,4.0430251129303345
2008-12-10,266.55,283.9,266.0,279.4,387501,5.3345900094250664,352.31200000000007,554.42025,4.138693695034532
2008-12-11,284.45,296.45,280.3,284.25,249195,1.7358625626342272,349.059,552.2925,4.146788707425231
2008-12-12,280.0,288.9,272.0,282.65,93313,-0.5628847845206786,345.91299999999995,550.062,4.145551111002116
2008-12-15,294.0,301.9,286.0,293.2,191129,3.732531399257044,343.15799999999996,547.67,4.190292110450282
2008-12-16,293.0,327.9,292.9,321.05,449031,9.49863574351979,341.12199999999996,545.4557500000001,4.426147956643777
2008-12-17,327.5,346.1,302.1,307.75,686034,-4.142656907023834,338.64399999999995,543.3340000000001,4.440929428681794
2008-12-18,315.0,319.7,305.05,314.4,202116,2.160844841592202,336.25,541.2180000000001,4.455003995594967
2008-12-19,316.0,327.2,311.0,320.55,231389,1.956106870229024,334.024,539.2007500000001,4.46903010890158
2008-12-22,322.0,326.0,310.0,311.7,100133,-2.7608797379504058,332.015,537.221,4.442771098334646
2008-12-23,308.0,318.8,301.1,309.65,157755,-0.6576836701957078,329.90299999999996,535.09025,4.43939561942314
2008-12-24,305.1,318.0,305.1,312.8,132623,1.0172775714516469,328.224,532.92225,4.40693048714351
2008-12-26,313.5,316.95,303.0,305.45,68099,-2.349744245524299,327.345,530.7607499999999,4.091149100172406
2008-12-29,310.0,319.0,302.0,315.75,79084,3.372073989196278,326.058,528.66125,3.9167290091681513
2008-12-30,325.8,335.0,313.1,319.7,115880,1.2509897070467124,324.478,526.7635,3.85158881911157
2008-12-31,323.0,329.7,323.0,325.3,131274,1.7516421645292546,323.376,525.04375,3.813949918929466
2009-01-01,328.0,336.9,325.35,333.8,136138,2.6129726406393994,322.042,523.50825,3.7532083846664137
2009-01-02,336.5,344.7,329.0,331.25,169149,-0.7639304973037775,320.647,522.1157499999999,3.7532866418380135
2009-01-05,335.3,395.0,333.0,390.4,1478252,17.85660377358489,320.255,521.062,4.537747588119592
2009-01-06,397.0,408.9,380.25,395.2,1340260,1.2295081967213184,319.43899999999996,519.9195000000001,4.448667453216647
2009-01-07,400.0,406.9,347.1,352.05,626963,-10.918522267206477,318.075,518.66525,4.6802773813603205
2009-01-09,345.65,364.0,318.05,338.0,229193,-3.9909103820480074,316.72900000000004,517.52375,4.686929205450721
2009-01-12,343.0,382.3,343.0,369.85,839495,9.423076923076934,316.618,516.568,4.767576937596305
2009-01-13,373.0,374.0,328.6,349.75,601140,-5.434635663106668,316.808,515.7595,4.639434870156365
2009-01-14,365.0,389.5,361.35,384.75,543230,10.007147962830597,317.222,515.17125,4.748313870190361
2009-01-15,380.0,380.0,361.0,373.1,261690,-3.027940220922676,317.83099999999996,514.548,4.690388515540641
2009-01-16,375.0,385.0,367.0,375.45,222985,0.6298579469311116,318.182,514.07925,4.651934632208884
2009-01-19,379.7,379.7,360.1,362.7,147342,-3.3959248901318406,318.32899999999995,513.4069999999999,4.6780636519788255
2009-01-20,360.0,382.5,352.0,375.05,470213,3.405017921146958,318.884,512.762,4.687167830752998
2009-01-21,370.0,375.0,353.15,356.55,162450,-4.932675643247563,318.92,511.96475,4.735643055289742
2009-01-22,364.0,371.7,354.1,369.1,155032,3.519842939279205,319.336,510.71424999999994,4.751280127780929
2009-01-23,369.1,372.9,359.1,363.9,290005,-1.4088322947710785,319.791,509.64,4.745853687590179
2009-01-27,370.0,380.0,368.0,375.7,133817,3.2426490794174256,320.44,508.5575,4.764644299062224
2009-01-28,381.0,396.7,378.0,394.55,213076,5.017301038062283,321.406,507.4885,4.810836395594714
2009-01-29,400.0,402.0,380.0,381.45,120451,-3.3202382461031577,322.244,506.38425,4.8283475647487615
2009-01-30,376.5,403.0,376.5,386.15,569737,1.2321405164503751,323.51,505.34899999999993,4.769537173157216
2009-02-02,389.9,402.0,383.0,389.6,332022,0.8934351935776297,324.71299999999997,504.33,4.764544003010861
2009-02-03,392.0,396.9,380.0,380.6,129965,-2.31006160164271,325.829,503.28475000000003,4.773372091232199
